,is_exc_all,pref_orth_diff,sg_idx_snr,sg0_idx_snr,sg0_osi_dich,sg1_si_salient_pref_all,sg2_rf_in,sg2_resp_orth_0,sg2_resp_orth_30,sg2_resp_pref_0,sg2_resp_pref_30,smg_idx_snr
0,False,2.8196555295457664,False,False,0.0794383864989432,0.2221274737873143,False,2.3548252554908875,3.50614759975519,17.30613821442836,9.861575236293273,True
1,False,7.691571556349974,False,False,0.02424520420835652,0.10779648381646605,False,15.129354902549103,17.72356516466691,23.302790078167348,23.60778194243231,True
2,False,-1.1898240758613952,False,False,0.18633883410054994,-0.008627705408288272,False,26.550486948794845,24.92427018757624,0.03803770320537763,0.49961710324845243,True
3,False,0.9399752067222913,False,False,0.19429527537741592,-0.04398360633621485,False,6.899846329348897,8.241645637571285,15.790785444894425,17.472289613185403,True
4,False,1.135223018578607,False,False,0.30722717499506624,0.04730938726412552,False,22.625896550046335,16.599917445236294,21.039643081693114,22.592758222898013,True
5,False,0.3998370286530981,True,False,1.0,0.33412555721114984,False,0.011659616556687232,0.0,23.62864533319878,27.52634846748641,True
6,False,1.8198047254759917,True,False,0.9754865077768607,0.3489189855708596,False,0.1480189659513342,0.031880398865980215,12.384204649193308,11.585606853611981,True
7,False,0.9114042782965011,True,False,0.9816343369602204,0.5462250216584513,False,0.5782112574730164,0.0,24.665830580469887,23.872654603686755,True
8,False,-0.6742360704363533,True,True,0.23655859796931317,0.20336409692051435,False,8.489979646819378,3.825359637744557,0.0,0.023816910793240637,True
9,False,-1.647002601470703,True,False,0.5189177720885307,0.0071054767006042885,False,8.631024839690864,7.000426024449273,0.48102506054326516,0.509023871869804,True
10,False,1.9578158814842128,True,True,0.5749041352423998,-0.2225441405427972,False,17.297879697946016,6.980116118032201,0.29421508073424685,0.6681106516566031,True
11,False,0.2348281407298951,True,True,0.5161009857448818,-0.4679550510872325,False,6.770779563439413,3.350415618206638,3.49635966026257,6.93864846888643,True
12,False,-15.06036364282362,False,False,0.4375024438815411,-0.0130438171328791,False,100.0,100.0,7.131834615042748,5.956824287348308,False
13,False,4.189234648126725,False,False,0.005528138031820222,0.09328938573586443,False,40.45670813439079,41.92367882324527,15.946361587699261,11.43002606701488,True
14,False,-3.9144430620571935,True,False,0.08094274385135972,0.08967679856987776,False,6.927996576966672,3.766257955859869,54.940604401083704,63.084073848585845,True
15,False,1.5966457012706456,False,False,0.12065437547774782,0.14260826529024007,False,9.157977285078513,7.984709271755164,100.0,92.10089304030706,True
16,False,1.3241406322982208,False,False,0.03304438197924018,0.03238267712283655,False,22.663470629616846,23.374742658522266,46.18291145429399,44.87605837758822,True
17,False,-0.5061719802996301,True,True,0.1117035692668416,0.06702614490689847,False,20.378469297250447,18.524939833083547,88.80152297468902,65.46983370611159,True
18,False,2.859455675173269,True,False,0.24680616401806982,-0.035039132245629545,False,26.36331369954114,23.140462653663675,9.39736525456493,11.20122001942199,True
19,False,-0.11727661312295035,False,False,0.19636172229057025,-0.23011175168461076,False,22.3517897411381,26.708641738678594,5.913580221688157,3.303543756811474,True
20,False,2.141136606283582,False,False,0.22535289110157775,0.04486117244192947,False,19.627193260149888,21.626490901869076,14.464608140779328,10.676199171978695,True
21,False,0.06047068784634302,False,False,0.6183525642095729,-0.13581984367623975,False,5.00910057167624,2.536637759827173,26.2649557642782,27.75820778258956,True
22,False,0.5696079277605852,False,False,0.09671673001728259,0.14315089247394902,True,14.139534801913372,8.181578666912033,5.745929206022993,5.289553815546709,True
23,False,2.8116292850030824,False,False,0.10257261396568271,0.09812190551747743,True,29.583356645173186,33.12504845122115,13.77602379088505,13.84593066657917,True
24,False,,True,False,0.015341531940118868,,True,2.455623062052883,5.51279847175838,29.33644525670948,26.265421243599402,True
25,False,-1.6817055666783354,True,False,0.03871258537912197,-0.014009656789191126,True,8.756506054077107,9.03846531773571,23.804191978728888,22.077915433746497,True
26,False,,False,False,0.4359005944641673,,False,0.9134084979693095,1.551888002417026,25.062620179393353,28.49905181007507,False
27,False,,False,False,0.4574136345389477,,False,9.055683851624147,5.55874759217169,28.236139059926447,28.752969973601207,False
28,False,,False,False,0.49341271637775885,,False,5.2959416093280876,4.844230824174025,21.769635458835047,23.630752310347866,True
29,False,,False,False,0.13378355576848783,,False,3.872269751169742,0.2099741116548196,44.123719745578285,44.48409732222224,True
30,False,-0.14542180865716503,False,False,0.23079263693999816,-0.12785591723660397,False,7.886668737524022,6.243947796039999,11.826306856625404,7.492629569701072,True
31,False,-0.3237149751079613,False,False,0.20956410529019212,0.044711434104137346,False,28.23807139164552,22.365052867800188,3.7652804167606893,7.482140022359837,False
32,False,1.6679468199622667,True,False,0.5101075476469765,0.13476368094113886,False,4.664818872996154,2.531219267372925,40.15540457784365,34.84095398336648,True
33,False,4.674133206560954,True,True,0.168118699910061,0.19050065651037723,False,9.517073258936689,8.13884111957099,13.164898675018685,13.721785576855883,True
34,False,5.19683576571062,True,True,0.18562917066570214,0.05564099777008246,False,26.642053501011848,26.769049509356798,27.907711235472032,23.143446259260266,True
35,False,2.3734817382855695,False,False,0.13332137804532368,0.1743293607447684,False,18.92818627043221,22.301406073622786,5.947638790112716,4.214236927576937,False
36,False,3.1869339262200995,False,False,0.11460430584531574,0.28168474088125733,False,8.60412555430323,10.127976898384544,8.751775790543222,2.133286898979583,True
37,False,,False,False,0.4346852324470368,,False,32.3503890953576,31.05016908605392,7.924142474374281,3.5968630206890597,False
38,False,,False,False,0.08681081717265114,,False,22.01448985494864,21.99189188006597,36.71213044713323,36.56773119138029,False
39,False,-0.06653224500134414,True,True,0.04690953939478395,0.020905453248173653,False,4.817263411778884,7.121230381875277,18.770004466223796,18.44209786480627,False
40,False,,False,False,0.08456594658410893,,False,2.6598552080730977,2.673687945382718,53.39811817569754,50.7071784692697,False
41,False,1.0854554722288619,False,False,0.01825206594751355,0.19932658904671,False,15.911926413551933,16.40275818182346,40.36507464802035,37.969446028940965,True
42,False,,False,False,0.2060927361448216,,False,19.46497308753001,17.219651519344783,23.044646673519395,20.63895324913737,True
43,False,3.454190303858085,False,False,0.10917941814056077,0.16114784958423073,False,7.194940727323483,4.8834003276454325,48.71900684080825,49.329146734895545,True
44,False,2.628432802273144,False,False,0.07350011918938688,0.12513243014628517,False,20.100184341606045,20.274211747858388,14.149023928404908,20.86863620755956,False
45,False,2.58966290756152,False,False,0.0801173024689552,0.28104882812037846,False,14.783491941216672,11.485684277991263,21.2952069633712,22.228628981989836,False
46,False,-1.885550367550401,False,False,0.10703643698827572,0.16976686369155863,False,35.881337666442285,35.80953158324775,10.484047987653561,7.531681634151401,False
47,False,-11.28529060918552,False,False,0.12357298152886124,0.04579026557157043,False,65.14383487498914,69.93277120905427,23.14987376714364,20.55194677631311,False
48,False,,False,False,0.021081482430836893,,False,16.180146949907513,13.028119845190444,55.090523876058754,47.7825327262354,False
49,False,-4.632255165824274,False,False,0.32686121636667853,-0.2792184748110293,False,9.379373191055866,15.712020144415781,43.106785040909955,38.233776532041894,True
50,False,3.5782573173771794,False,False,0.06699639563478244,0.10108875755885299,False,63.93412386377653,60.805355580643,24.196414425909417,13.968650474189184,True
51,False,-5.402314702693658,False,False,0.2132858344670533,-0.0848797212923176,False,5.130866277270401,8.733849661806838,59.614090714678284,51.71599706664729,True
52,False,6.287508089698321,False,False,0.11512019399165042,0.07647117644767348,False,45.45147377700627,40.61147084268621,7.843647188512993,12.422981677958985,True
53,False,-3.5471852036575093,True,True,0.2828261952347237,-0.11192269348633754,False,20.495585672593172,16.844647328163354,24.750687660535988,19.094018800831876,True
54,False,-14.518285962463448,True,True,0.4074216958042349,-0.31136505123913305,False,20.100059287252424,13.07797308327654,8.342103261608056,9.693996542228907,True
55,False,-6.176247152571495,True,False,0.27047952856389024,0.030265667397402052,False,19.80658219769024,14.119542728070739,45.16092110186433,44.49395390896079,True
56,False,1.3454993580802306,True,False,0.8484733788624298,-0.10539920260145698,False,4.7493525863347505,3.0650285563957036,18.10948419295108,17.34393164270912,True
57,False,2.6122772251255757,True,True,0.4746813664223766,0.05582083190485447,False,17.83384445627841,9.85086864941061,17.104540224461704,14.155997041051679,True
58,False,0.6051460432578235,True,True,0.6158343679290273,0.09076067552720214,False,14.669260245207576,10.633449979747336,18.37756908463631,16.86804368984527,True
59,False,-14.794707262675118,True,False,0.15791947428825126,-0.15105496193718027,False,23.972042634141424,16.016758345545103,5.805615729723986,2.985134709638377,True
60,False,6.286267420897879,True,True,0.7872603336963363,0.23326483152755734,False,6.0584511455463375,1.9738945187306782,15.510242440236304,10.89449745293398,True
61,False,-6.186406036879182,True,True,0.3172694479258583,-0.27938711771098,False,23.3357088590774,16.382555377786048,11.905792106826528,11.535324360197711,True
62,False,-1.367750558972313,False,False,0.08176886285744735,-0.007264161050275241,False,23.823451119570585,25.94553899593078,33.117709031436014,22.384922681764394,False
63,False,2.7795374403574806,True,False,0.30607009591701967,0.14366706266769338,False,8.93272133353047,6.310799502355692,6.430691767555589,3.4340757423659594,True
64,False,-0.37363064451477257,False,False,0.047706399746045465,0.12932936278621027,False,15.412699330854826,10.400759793149355,22.289492224629683,19.70582765539009,True
65,False,-0.39488417072555926,True,True,0.49503853427237204,-0.0970190007161438,False,13.71945425820274,9.564764524499573,34.95406869178018,26.296174626988478,True
66,False,0.6078942354099883,False,False,0.31778299729437964,-0.0363850642588735,False,12.836377587145531,10.351048689932586,7.3261025454849,5.325678954265104,True
67,False,-0.05935437386282416,True,True,0.41306232666954606,0.027671729536988994,False,8.196018018479197,10.288971312648542,13.150308213005655,17.665677243807856,True
68,False,3.6418635336061325,True,True,0.2925954453174968,0.15600125404666604,False,5.768439325396544,2.0949657375697432,15.054399561919032,10.823768280351008,True
69,False,,False,False,0.09264039675402509,,False,9.228981275063676,11.286944770373598,31.75085734028238,36.09631748965536,True
70,False,-4.493682087781149,False,False,0.04666118229589014,-0.09350812341826802,False,5.8714886776392525,7.2658455102011965,34.88165729165746,33.42427438268295,True
71,False,,False,False,0.0022652741811661262,,False,5.758368409155175,4.103569709666026,10.532322352787908,4.838099165055424,False
72,False,,False,False,0.7312865774982019,,False,31.9733571431313,31.44183127639385,2.263179361247099,3.636918168467207,False
73,False,-0.9525587740100514,False,False,0.36696175257404967,0.01732097365232165,False,32.44912119343495,41.968301517220254,4.6726508023074045,1.0435404618067716,True
74,False,,False,False,0.001272963739390499,,False,10.892144508707599,8.590247769413205,6.018107846522559,5.980413004409712,True
75,False,-1.9872974573324127,False,False,0.15099315305194302,0.3616755756398314,False,3.3993475086604934,3.453883254745354,2.5148447879996056,2.8292660997846184,True
76,False,-0.8693113235326901,False,False,0.04262985179496784,0.3246351677010519,False,1.4390357127651954,2.9645161968558877,14.342962768621364,17.88693645013831,True
77,False,3.603947712138344,False,False,0.4032249661085301,-0.1942932053255324,False,9.291032579106588,14.656679441746418,6.22465230226039,5.761342246968967,True
78,False,-6.0125826670339,False,False,0.019804437733748115,0.03090374099296449,False,32.81287417630666,35.844566226841366,0.5880176849090136,4.916276800422333,False
79,False,0.22702240067957913,False,False,0.019165056142827316,-0.16584185642293373,False,21.33888554198142,21.3181395863947,1.838612713946555,3.8962812510987694,False
80,False,-1.8978695201244244,False,False,0.2626537481529621,-0.4542464504965551,False,4.110756340729169,4.714528739553853,2.4981977883726363,5.244364803298733,True
81,False,-4.636125640066066,False,False,0.10513648415732053,-0.18857331518341097,False,31.779414317093025,32.22440850592624,11.32755954868163,15.923975658101536,True
82,False,,False,False,0.11953916368845381,,True,1.541453617362258,3.208756170784816,3.9531085905260768,1.9873109803451465,True
83,False,-0.6622787913044867,False,False,0.14917044943161026,-1.0,True,3.1659658043048315,8.306626641454223,0.36747462283342314,1.8130476142948444,False
84,False,,False,False,0.07119739700507824,,False,11.86021689751681,14.636477642358303,27.259106621599923,30.05585547866455,True
85,False,,False,False,0.3589184578131776,,False,7.550237542018294,12.572948696070876,3.293772827535296,4.619942524792023,True
86,False,3.3118183941312456,True,True,0.48143911922380744,-0.06327144795211179,False,12.322487699655959,15.515334436741583,1.7908911044016866,0.4979275305492755,True
87,False,,False,False,0.013873369806240866,,False,32.45698036458822,25.16955882200235,30.291724586560843,31.618230282687215,True
88,False,,False,False,0.15232747098060026,,False,11.250197604919473,8.745860200351437,7.885650327094855,13.298741027187457,True
89,False,2.5106942306350293,False,False,0.7225620583883853,-0.045412498267322424,False,3.616236344409677,3.376083510796516,12.406602881681653,11.569114502867125,True
90,False,4.1594227247584925,True,False,0.4858289453329568,0.0637976607249362,False,8.61422792966597,4.460179642475664,28.455896763823553,26.66989529815812,True
91,False,5.703006916879437,True,False,0.4243705714883737,-0.09800306973193962,False,8.899863198495064,9.36916721865344,10.64923020867774,9.97337510343641,True
92,False,-0.7525715296968611,False,False,0.16141360649964143,-0.482697979914966,False,6.043732807947657,6.905011122461217,5.421941041564329,6.2049945271335165,True
93,False,-4.258899342728396,False,False,0.25017807754732496,-0.7019480804710524,False,4.605320211117848,4.369130588960475,7.66875915772592,1.939756807166701,True
