,is_exc_all,pref_orth_diff,sg_idx_snr,sg0_idx_snr,sg0_osi_all,sg0_osi_dich,sg0_pref_resp_all,sg1_idx_snr_all,sg1_salient_orth,sg1_salient_pref,sg1_snr_max_all,sg1_si_salient_pref_all,sg2_resp_orth_0,sg2_resp_orth_30,sg2_resp_pref_0,sg2_resp_pref_30,sg2_rf_in,sg2_idx_snr,smg0_dsi_all,smg0_pref_resp_all,smg1_salient_pref_all,smg1_salient_null_all,smg1_snr_all_max,smg_idx_snr
0,True,0.906564247791219,True,True,0.22777503703101912,0.16553665714565122,4.765239379099265,True,3.1683033932849076,5.392325295537365,0.5159912542555579,0.41995060953100133,4.298405784468148,7.0461911000959665,1.7290470262983093,2.8392198417060586,False,True,0.1152902045321354,12.189696968534571,9.48562805572319,7.145763953033546,1.0754728552806556,True
1,True,,True,False,0.07781540063251229,0.010217388667719192,6.32265074235666,True,4.105708441237504,6.626404176881233,0.7238790724509826,-0.10068012361358257,7.825645621203671,9.285142374525476,12.973213601279204,3.0421180264579113,False,True,0.19469490429998068,7.606510466240872,6.2719407988754545,4.8442403652240555,1.0733559678734323,True
2,True,,True,False,0.41826083228059024,0.557230051993504,3.3325042159447613,True,4.360118807544294,4.087133129637712,0.6756180643612613,0.017910288525688888,8.899467480164763,3.3708562183240045,6.018503098060575,5.329784462532881,False,True,0.07159969680896078,10.667373106069645,4.041759553156881,16.162111297432112,1.0870424883785634,True
3,True,,True,False,0.3577954401240611,0.3882694042740987,9.262476340266836,True,6.699908332409701,10.063206512340491,0.5909848780832101,0.11460878414441303,20.749564552270485,5.560415307825377,4.073744726376654,10.603337627445367,False,True,0.27593405929315845,11.010922927071347,9.091548763780647,2.184985010198215,0.851789339996447,True
4,True,-1.8092852399488395,False,False,0.2984929667993918,0.03346373995014939,1.9649939385479727,False,7.987087695325605,6.177802455376765,0.47027688956909064,0.42307633065669775,13.35249644251306,4.418706965373108,5.468312344967481,5.323200354993633,False,True,0.3011284651786775,14.937148536540231,5.375205750263847,5.105517176804823,0.7625091415745986,True
5,True,-0.3147075458180226,True,False,0.06335426803541327,0.16987690984719242,5.467227977967321,True,7.5385295071642835,3.682900967710482,0.5552113483068053,-0.3024335954976145,4.096508102673692,5.528532628456005,3.7968133127484665,6.926515165501493,False,True,0.06363589263695033,7.476547620574743,5.8864545227132155,5.515312414733342,1.134568283485642,True
6,True,,True,False,0.3651162375079817,0.7815175437130221,12.291273051707908,True,1.726744797278432,5.369523325362557,0.5106629951315561,-0.45480731485237913,4.834630881854976,3.0653186620886004,9.127756357508801,12.006891950607418,False,True,0.1311590164485911,8.694081555348603,15.937743353836362,13.425768008539857,0.6974733708520209,True
7,True,,True,False,0.11858434958540634,0.597671634567765,6.698642215150982,True,9.048918033306453,5.743066779471073,0.5472865153958512,0.0876679923163004,5.371457182049193,5.015741515941458,7.767362640208371,7.153343976757591,False,True,0.18369261521847305,9.921791881693395,7.659693941538616,11.257820291610106,0.8723677691665662,True
8,True,-4.080937475108242,True,False,0.17589590018764178,0.016891525124496338,4.282641689612823,True,11.384389037536756,4.999159543212123,0.6152224678147858,0.15165278281093267,7.8901855433782195,11.249500346150104,8.71195905549467,2.137755536406526,False,True,0.1127207364179448,11.50605734439049,8.541382847549063,8.508550772257855,0.9216650008793605,True
9,True,,True,False,0.20008173292926365,0.65537141594249,4.211814018027385,True,1.4612885431588953,2.6985182651942194,0.5020386357243322,-0.32502533933472977,9.136887219681853,7.68700666150774,8.852822094078418,11.34847766182343,False,True,0.07909064751326239,10.543113192728978,10.652515263602425,12.187335209486685,0.8214964788937609,True
10,True,4.975097928032335,True,False,0.17403524249605626,0.6708919532667375,7.2668407281514815,True,4.170299400851858,4.259185259514197,0.7776464336442982,-0.3642544015012865,7.848541178425846,10.275574476534434,9.557088844771929,9.040602486198534,False,True,0.20868909658733723,12.949554865008844,14.470401356122634,6.896777209146852,1.1512220364399384,True
11,True,,True,False,0.07856583793906106,0.2891036930318905,6.300309530054698,True,7.779718649297522,8.972777315405638,0.7242419047551263,-0.077358270608333,9.681254661677716,3.3021407470990125,8.520913434296745,8.32618322132108,False,True,0.06315261711481684,12.258186376914455,5.618989159990673,15.336876569538905,0.9764038448303259,True
12,True,,False,False,0.27165307706741226,0.4642573177552415,9.723922399472043,False,1.132726640231567,2.55446676501401,0.4469600879030892,-0.5898313845592721,7.407923369159559,1.7133396428464545,10.163559935331069,5.200764987275827,False,True,0.28591001938362126,6.439247332137306,4.708221188137586,6.710112907884222,0.7614192939133303,True
13,True,3.4122527687563817,False,False,0.37099491545275604,0.29330983768709606,2.3341613535376076,False,12.543621076517637,2.036956881484424,0.47262998077064894,-0.15467371895020465,8.294397471725661,3.9228184531530816,7.904328435468949,7.352471897903157,False,True,0.3847094220494383,8.72670001679175,6.035284636336462,3.046044365033453,0.9569148542208047,True
14,True,-3.0661321147203395,True,False,0.23535807593283767,0.26468684267099307,8.133674886344544,True,8.769291975123977,5.7031598604036375,0.5060779378758236,-0.18825811998111286,10.07324748291491,7.20537837412513,8.8267108975075,10.77827834141878,False,True,0.1594389713087187,15.60360215603862,11.643767278009843,17.635689932564674,0.7843232926272975,True
15,True,5.2973460143594835,True,False,0.1692388972341045,0.20108324206965236,6.04724933647147,True,7.332057099221009,12.629403113580493,0.5651406268607425,0.1657487326054296,12.208987780901346,5.240609781696136,8.693236128859214,7.364461958360947,False,True,0.1204384996601308,18.826983399233267,12.457301626076726,16.534821277207758,0.9149577223028502,True
